Variable,Max,Min,plot_names,description_diff,description_per_diff
emibc,0,0,surface flux of BC,expression(Delta*~emibc~(kg~m^-2~s^-1)),
emiso2,0,0,surface flux of SO2,expression(Delta*~emiso2~(kg~m^-2~s^-1)),
mmrbc,0,0,surface concentration of BC,expression(Delta*~mmrbc~(kg~kg-1)),
mmrso4,0,0,surface concentration of SO4,expression(Delta*~mmrso4~(kg~kg-1)),
so2,0,0,surface concentration of SO2,expression(Delta*~so2~(kg~kg-1)),
rlut,0,0,upwelling longwave flux \n at TOA,expression(Delta*~rlut~(W~m-2)),
rsut,0,0,upwelling shortwave flux \n at TOA,expression(Delta*~rsut~(W~m-2)),
rsdt,0,0,incident shortwave flux \n at TOA,expression(Delta*~rsdt~(W~m-2)),
rlutcs,0,0,upwelling clear-sky longwave \n flux at TOA,expression(Delta*~rlutcs~(W~m-2)),
rsutcs,0,0,upwelling clear-sky shortwave \n flux at TOA,expression(Delta*~rsutcs~(W~m-2)),
drybc,0,0,dry deposition rate \n of BC,expression(Delta*~drybc~(kg~m^-2~s^-1)),
wetbc,0,0,wet deposition rate \n of BC,expression(Delta*~wetbc~(kg~m^-2~s^-1)),
dryso2,0,0,dry deposition rate \n of so2,expression(Delta*~dryso2~(kg~m^-2~s^-1)),
wetso2,0,0,wet deposition rate \n of so2,expression(Delta*~wetso2~(kg~m^-2~s^-1)),
dryso4,0,0,dry deposition rate \n of so4,expression(Delta*~dryso4~(kg~m^-2~s^-1)),
wetso4,0,0,wet deposition rate \n of so4,expression(Delta*~wetso4~(kg~m^-2~s^-1)),
od550aer,0,0,ambient aerosol optical \n thickness at 550nm,expression(Delta*~od550aer),
clt,0,0,total cloud cover \n percentage,expression(Delta*~clt~(percent)),
cltc,0,0,convective cloud cover \n percentage,expression(Delta*cltc~(percent)),
net_rad,0,0,clear-sky net radiative flux \n at TOA,expression(Delta*~rlut~+~rsut~(W~m-2)),
net_rad_cs,0,0,clear-sky net radiative flux \n at TOA,expression(Delta*~rlutcs~+~rsutcs~(W~m-2)),
tot_bc,0,0,total deposition rate \n of BC,expression(Delta*~drybc~+~wetbc~(kg~m-2~s-1)),
wet_s,0,0,wet deposition rate \n of S,expression(Delta*~wetso2~+~wetso4~(kg~m-2~s-1)),
dry_s,0,0,dry deposition rate \n of S,expression(Delta*~dryso2~+~dryso4~(kg~m-2~s-1)),
tot_s,0,0,total deposition rate \n of S,"expression(atop((dryso2~+~wetso2)/2~+~(dryso4~+~wetso4)/3, (kg~m^-2~s^-1)))",
imp_cld,0,0,implied cloud response at TOA - \n,expression(Delta*~rlut~+~rsut~-~rlutcs~-~rsutcs~(W~m^-2)),
